Name	CoL ID	E_Rj (log10 J/cm^3)	F_m (log10 l/d.cm^2)	kap_X (log10 -)	s_G (log10 -)	h_a (log10 1/d^2)	kap_P (log10 -)	kap_R (log10 -)	kap_V (log10 -)	p_M (log10 J/d.cm^3)	k_E (log10 1/d)	E_G (log10 J/cm^3)	p_T (log10 J/d.cm^2)	s_j (log10 -)	t_sj (log10 d)	E_Hj (log10 J)	E_He (log10 J)	E_Hb (log10 J)	k_J (log10 1/d)	E_Hx (log10 J)	E_Hp (log10 J)	E_Hs (log10 J)	p_Am (log10 J/d.cm^2)	kap (log10 -)	v (log10 cm/d)	t_0 (log10 d)
Branchiostoma floridae	56b084fe5a8af1fb6b065bd2b921487b		0.812913356643	-0.0969100130081	-4.0	-9.40153779953	-1.0	-0.0222763947112		1.41630758706		3.19451434188				-1.01304921214		-2.6317131151	-3.0		0.934043719036		0.794628141542	-0.0816550710377	-1.93181413825	
Bubo scandiacus	1347e0b2597b16465cd5674f305fafd4		0.812913356643	-0.0969100130081	-2.0	-17.6669559702	-1.0	-0.0222763947112		2.91735791888		3.86450396142						3.34084054981	-2.69897000434		6.43854234879		3.79160504458	-0.00836198313831	-0.698470852639	
Bubo virginianus	8cc3813fbee7a429055cc132b940107d		0.812913356643	-0.0969100130081	-2.0	-18.8195873672	-1.0	-0.0222763947112		3.08143732635		3.86495582711						2.894537585	-2.69897000434		5.99370069482		3.85285922572	-0.0041630588736	-0.80104066133	
Buccinum undatum	1e9490fd92636d74588b2fc5f0870e54		0.812913356643	-0.698970004336	-4.0	-8.03456310022	-0.301029995664	-0.323306390375		1.64500939514		3.59382970262				-3.86806070479		-4.24795155218	-2.69897000434		3.17724783626		2.0928188585	-0.00158371602912	-1.48238189326	
Bucorvus leadbeateri	c37431d15839c9b467569ad3045869be		0.812913356643	-0.0969100130081	-2.0	-24.5808706923	-1.0	-0.0222763947112		2.52241293188		3.86361724768						3.16908635749	-2.69897000434		6.17114115103		3.53256075002	-0.00409290813031	-0.725565029926	
Bufo bufo	e53ae9ac85ef2c141a509f6405bc98f7		0.812913356643	-0.0969100130081	-4.0	-9.25924267669	-1.0	-0.0222763947112		2.02284061088		3.86451108106						-0.246800085801	-2.69897000434		4.92184248141		2.60312054534	-0.0539409396149	-1.31006989598	
Caenorhabditis elegans	64710e67cd5e7ae09722a643ba747af2		0.812913356643	-0.0969100130081	-4.0	-3.66334017655	-1.0	-0.0222763947112		3.42357351973		3.25791845031				-3.55129368009		-5.25134690658	-2.69897000434		-3.00423322095		1.24307030936	-0.0705810742857	-1.04914854111	
Caiman crocodilus	2169464fbc24236e32ec1d7b81a59a45		0.812913356643	-0.0969100130081	-4.0	-10.8088285443	-1.0	-0.0222763947112		1.07298474463		3.89442683796						4.13513265138	-2.69897000434		5.97584522547		2.46222424535	-0.020952673052	-1.10358402353	
Calanus sinicus	522187c194196c1a2931e0e054be2ebe		0.812913356643	-0.744727494897	-4.0	-4.35095736591	-0.154901959986	-0.0222763947112		3.14612803568		3.64345267649						-2.99139982824	-2.69897000434		-0.354872600742		2.22440355776	-0.0969100130081	-1.70996538864	
Calidris alpina	3573e87083ded2fb1ffc96183f7def79		0.812913356643	-0.0969100130081	-2.0	-23.0586873746	-1.0	-0.0222763947112		2.64253475353		3.86489714672						3.71323846155	-2.69897000434		5.55774774164		3.09297314964	-0.0498835240188	-1.01685653058	
Calidris bairdii	b332bce93951f2c8b34f237074c8b5bc		0.812913356643	-0.0969100130081	-2.0	-35.0346101298	-1.0	-0.0222763947112		3.00497018065		3.86446895482						3.26764098235	-2.69897000434		5.57714698483		3.39373134574	-0.0289237127322	-0.767003889608	
Calidris ferruginea	9b0c2d95deffed6fa89cdb208c187026		0.812913356643	-0.0969100130081	-2.0	-28.1795358094	-1.0	-0.0222763947112		2.68776432606		3.86451642071						3.59117595031	-2.69897000434		5.84849701809		3.24639516504	-0.0351325002079	-0.574922485226	
