Name	CoL ID	p_M (J/d.cm^3)	F_m (l/d.cm^2)	h_a (1/d^2)	p_Am (J/d.cm^2)	k_J (1/d)	kap_X (-)	kap (-)	E_G (J/cm^3)	E_Hb (J)	s_G (-)	v (cm/d)	kap_P (-)	kap_R (-)	E_Hp (J)	p_T (J/d.cm^2)
Grus virgo	987b70eac098e65fbf96b62c25c06f86	223.357	6.5	3.724e-70	3089.8	0.002	0.8	0.95765	7308.55	24140.0	0.01	2.8524	0.1	0.95	11190000.0	0.0
Haematopus moquini	35a448e347c4bb7b28695e9fcb3c744b	374.29	6.5	1.729e-32	2604.32	0.002	0.8	0.9746	7318.57	4807.0	0.01	0.35944	0.1	0.95	1403000.0	0.0
Halobatrachus didactylus	179d2ac7f27322ede597a170364b80a9	18.94	6.5	2.261e-08	231.974	0.002	0.8	0.6851	5229.0	38.49	0.0001	0.01687	0.1	0.95	45270.0	0.0
Heptranchias perlo	5bbba314cd44233980889b7db2091025	26.57	6.5	5.422e-09	837.672	0.002	0.8	0.4152	5226.0	121300.0	0.0001	0.1098	0.1	0.95	8821000.0	0.0
Heterodontus portusjacksoni	ea78d30dbfede623a294ebd70f2efd83	15.21	6.5	1.978e-08	418.226	0.002	0.8	0.3895	5235.0	93450.0	0.0001	0.02166	0.1	0.95	7873000.0	0.0
Heteronotia binoei	9d3714402a1d195c7d861c0b1f840bd8	41.2	6.5	1.368e-10	110.239	0.002	0.8	0.4937	7825.0	1023.0	0.0001	0.01739	0.1	0.95	14950.0	0.0
Himantopus mexicanus	1f5847657f78653cd8be6e4f828a1c0d	388.219	6.5	2.493e-32	1966.01	0.002	0.8	0.94096	7318.54	4833.0	0.01	0.47142	0.1	0.95	1233000.0	0.0
Hiodon tergisus	9847fa5ddb60890788abf8bc9ce686a5	250.0	6.5	3.041e-08	1249.66	0.002	0.8	0.7394	5224.0	1.602	0.0001	0.07969	0.1	0.95	1039000.0	0.0
Hippocampus whitei	46216a4024c47e7b05bf40754e15647e	52.67	6.5	2.528e-08	159.704	0.002	0.8	0.5534	5169.0	112.5	0.0001	0.05608	0.1	0.95	2731.0	0.0
Hirundichthys affinis	dcc59c1ff44e5086c007ead8f39618f7	112.9	6.5	1.318e-07	636.107	0.002	0.8	0.9389	5224.0	0.9751	0.0001	0.1186	0.1	0.95	30660.0	0.0
Holocentrus adscensionis	09be05d2d25f1e7254c0380f441b7fa3	61.17	6.5	1.636e-09	538.444	0.002	0.8	0.9945	5221.0	0.0007625	0.0001	0.04622	0.1	0.95	433.0	0.0
Kryptolebias marmoratus	8c24a2a18bf61d804420086edc99c306	193.0	6.5	2.019e-08	139.591	0.002	0.8	0.8398	5222.0	0.7696	0.0001	0.01045	0.1	0.95	8.571	0.0
Lacerta agilis	7e1a059719ca73323daa52f23a19a64d	65.73	6.5	7.819e-09	155.912	0.002	0.8	0.793	7832.0	390.8	0.0001	0.02887	0.1	0.95	18970.0	0.0
Lacerta strigata	13b6f7649bd9cb39390aa38518fca717	27.96	6.5	1.339e-08	124.753	0.002	0.8	0.5686	7829.0	2383.0	0.0001	0.02265	0.1	0.95	31380.0	0.0
Lampetra planeri	7849536da20a2a4d44365ac33b8c8b98	50.15	6.5	3.345e-26	241.261	0.002	0.8	0.4413	3235.0	127.2	0.5	0.2763	0.1	0.95	24060.0	0.0
